Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1983","1983","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1983","1983","t","755382","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1984","1984","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1984","1984","t","707810","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1985","1985","ha","83000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1985","1985","kg/ha","8422.9","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1985","1985","t","699100","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1986","1986","ha","83000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1986","1986","kg/ha","11980.7","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1986","1986","t","994400","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1987","1987","ha","81000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1987","1987","kg/ha","7335.8","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1987","1987","t","594200","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1988","1988","ha","81000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1988","1988","kg/ha","7523.5","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1988","1988","t","609400","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1989","1989","ha","81000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1989","1989","kg/ha","8609.9","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1989","1989","t","697400","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1990","1990","ha","84864","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1990","1990","kg/ha","8038.2","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1990","1990","t","682152","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1991","1991","ha","89396","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1991","1991","kg/ha","5647.8","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1991","1991","t","504888","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1992","1992","ha","88690","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1992","1992","kg/ha","6101.5","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1992","1992","t","541145","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1993","1993","ha","88289","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1993","1993","kg/ha","12426.9","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1993","1993","t","1097158","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1994","1994","ha","87573","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1994","1994","kg/ha","4145.5","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1994","1994","t","363038","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1995","1995","ha","85625","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1995","1995","kg/ha","5339.6","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1995","1995","t","457203","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1996","1996","ha","81484","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1996","1996","kg/ha","8096.3","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1996","1996","t","659719","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1997","1997","ha","81025","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1997","1997","kg/ha","8195.8","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1997","1997","t","664063","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1998","1998","ha","79499","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1998","1998","kg/ha","4586.5","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1998","1998","t","364619","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","1999","1999","ha","77984","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","1999","1999","kg/ha","4039.9","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","1999","1999","t","315049","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2000","2000","ha","71016","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2000","2000","kg/ha","6903.5","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2000","2000","t","490260","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2001","2001","ha","73011","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2001","2001","kg/ha","6950.2","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2001","2001","t","507440","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2002","2002","ha","72430","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2002","2002","kg/ha","6785.8","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2002","2002","t","491494","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2003","2003","ha","71589","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2003","2003","kg/ha","11329.9","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2003","2003","t","811099","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2004","2004","ha","73377","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2004","2004","kg/ha","14961.6","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2004","2004","t","1097837","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2005","2005","ha","81672","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2005","2005","kg/ha","7811.5","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2005","2005","t","637979","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2006","2006","ha","59298","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2006","2006","kg/ha","9956.7","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2006","2006","t","590413","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2007","2007","ha","59017","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2007","2007","kg/ha","8054.8","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2007","2007","t","475370","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2008","2008","ha","54704","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2008","2008","kg/ha","8390.9","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2008","2008","t","459016","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2009","2009","ha","52637","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2009","2009","kg/ha","9831.3","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2009","2009","t","517491","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2010","2010","ha","56373","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2010","2010","kg/ha","9807.2","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2010","2010","t","552860","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2011","2011","ha","52722","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2011","2011","kg/ha","11766.7","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2011","2011","t","620362","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2012","2012","ha","55366","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2012","2012","kg/ha","8361.4","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2012","2012","t","462935","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2013","2013","ha","60276","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2013","2013","kg/ha","8520.5","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2013","2013","t","513580","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2014","2014","ha","56130","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2014","2014","kg/ha","9143","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2014","2014","t","513195","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2015","2015","ha","55883","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2015","2015","kg/ha","8518.9","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2015","2015","t","476059","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2016","2016","ha","55528","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2016","2016","kg/ha","8414.8","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2016","2016","t","467259","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2017","2017","ha","55597","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2017","2017","kg/ha","6271.1","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2017","2017","t","348656","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2018","2018","ha","53940","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2018","2018","kg/ha","11768.1","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2018","2018","t","634770","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2019","2019","ha","52740","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2019","2019","kg/ha","9342.1","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2019","2019","t","492700","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2020","2020","ha","52340","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2020","2020","kg/ha","10268.8","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2020","2020","t","537470","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2021","2021","ha","53820","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2021","2021","kg/ha","11031.2","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2021","2021","t","593700","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2022","2022","ha","54070","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2022","2022","kg/ha","10049.6","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2022","2022","t","543380","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2023","2023","ha","54290","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2023","2023","kg/ha","9838.6","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2023","2023","t","534140","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01341","Apples","2024","2024","ha","53600","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01341","Apples","2024","2024","kg/ha","9088.4","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01341","Apples","2024","2024","t","487140","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1961","1961","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1961","1961","t","51300","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1962","1962","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1962","1962","t","52500","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1963","1963","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1963","1963","t","51400","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1964","1964","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1964","1964","t","48700","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1965","1965","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1965","1965","t","35800","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1966","1966","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1966","1966","t","78500","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1967","1967","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1967","1967","t","68300","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1968","1968","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1968","1968","t","59861","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1969","1969","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1969","1969","t","71700","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1970","1970","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1970","1970","t","61133","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1971","1971","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1971","1971","t","50900","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1972","1972","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1972","1972","t","58300","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1973","1973","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1973","1973","t","53900","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1974","1974","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1974","1974","t","56070","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1975","1975","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1975","1975","t","59153","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1976","1976","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1976","1976","t","52731","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1977","1977","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1977","1977","t","57100","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1978","1978","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1978","1978","t","66584","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1979","1979","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1979","1979","t","96161","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1980","1980","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1980","1980","t","67100","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1981","1981","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1981","1981","t","62294","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1982","1982","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1982","1982","t","87689","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1983","1983","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1983","1983","t","93419","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1984","1984","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1984","1984","t","96591","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1985","1985","ha","19500","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01344.02","Cherries","1985","1985","kg/ha","4538.5","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1985","1985","t","88500","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1986","1986","ha","19000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01344.02","Cherries","1986","1986","kg/ha","4347.4","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1986","1986","t","82600","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1987","1987","ha","18000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01344.02","Cherries","1987","1987","kg/ha","4105.6","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1987","1987","t","73900","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1988","1988","ha","18000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01344.02","Cherries","1988","1988","kg/ha","4400","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1988","1988","t","79200","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1989","1989","ha","18000","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01344.02","Cherries","1989","1989","kg/ha","4438.9","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1989","1989","t","79900","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5312","Area harvested","01344.02","Cherries","1990","1990","ha","17400","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01344.02","Cherries","1990","1990","kg/ha","3890.8","E","Estimated value",""
"QCL","Crops and livestock products","642","Romania","5510","Production","01344.02","Cherries","1990","1990","t","67700","A","Official figure",""
